# Manali, NW India 242 Year Tree Ring Oxygen Isotope Data
#-----------------------------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#-----------------------------------------------------------------------
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22549
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/treering/isotope/asia/india/manali2017d18o.txt
#       Description: NOAA location of the template
#
# Original_Source_URL: 
#       Description:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Ring
#
# Dataset DOI:
#
# Parameter_Keywords: oxygen isotopes
#--------------------
# Contribution_Date
#	Date: 2018-01-19
#--------------------
# File_Last_Modified_Date
#	Date: 2018-01-19
#--------------------
# Title
#	Study_Name: Manali, NW India 241 Year Tree Ring Oxygen Isotope Data
#--------------------
# Investigators
#	Investigators: Sano, M.; Dimri, A.; Ramesh, R.; Xu, C.; Li, Z.; Nakatsuka, T.
#--------------------
# Description_Notes_and_Keywords
#	Description: Abies pindrow tree-ring oxygen isotope (d18O) data from Manali, northwestern India, for the past 242 years.
#--------------------
# Publication
#	Authors: Masaki Sano, A.P. Dimri, R. Ramesh, Chenxi Xu, Zhen Li, Takeshi Nakatsuka
#	Published_Date_or_Year: 2017-10-01
#	Published_Title: Moisture source signals preserved in a 242-year tree-ring d18O chronology in the western Himalaya
#	Journal_Name: Global and Planetary Change
#	Volume: 157
#	Edition:
#	Issue: 
#	Pages: 73-82
#	Report_Number:
#	DOI: 10.1016/j.gloplacha.2017.08.009
#	Online_Resource: https://www.sciencedirect.com/science/article/pii/S0921818116305379
#	Full_Citation:
#	Abstract: The oxygen isotope ratio (d18O) of tree-ring cellulose is known to be a reliable proxy for hydroclimate in monsoon Asia. However, tree-ring d18O data are still spatially and temporally limited, so a denser tree-ring network in Asia is required to better understand the dynamics of the monsoon circulation and its past variability. Here, we present a 242-year d18O chronology calculated from five silver fir trees collected in the western (Indian) Himalaya, a region located on the northwestern periphery of the summer monsoon incursions. Response analyses using regionalized climatic data revealed that tree-ring d18O is controlled by hydroclimatic variables, including precipitation, relative humidity, and the drought index, during the summer monsoon season. In addition, spatial correlation analyses with gridded climatic parameters showed that the strongest correlations of tree-ring d18O are not observed with the climatic parameters at the sampling site, but with those in a region several hundred kilometers to the southwest, indicating that water vapor originating in the Arabian Sea is transported to the study site. Based on these results, we reconstructed the self-calibrating Palmer Drought Severity Index (scPDSI) for the summer monsoon season (June-September) over the past 242 years (1767-2008 CE), using a linear regression model that accounts for 45.0% of the actual scPDSI variance. Our chronology showed significant correlations with other tree-ring d18O data from Nepal and Bhutan, indicating that common signals related to the moisture supply from the Bay of Bengal are also recorded in the present reconstruction. However, the tree-ring record from India often showed weak correlations with that from Bhutan, especially when the summer monsoon was relatively weak. This result, together with the fact that the water vapor at the tree site was also derived from the Arabian Sea, implies that a weaker monsoon circulation enhances the flux of Arabian Sea moisture and reduces the flux of Bay of Bengal moisture to the study region.
#------------------
# Funding_Agency
#	Funding_Agency_Name: Indian Space Research Organization-Geosphere Biosphere Programme, Government of India
#	Grant: ISRO-GBP-PRL:CCD881
#------------------
# Funding_Agency
#	Funding_Agency_Name: Japan Society for the Promotion of Science
#	Grant: 2310262, 23242047, 26244049
#------------------
# Funding_Agency
#	Funding_Agency_Name: Chinese Academy of Sciences
#	Grant: Pioneer Hundred Talents Program
#------------------
# Site_Information
#	Site_Name: Manali
#	Location: Asia>Southcentral Asia>India
#	Country: India
#	Northernmost_Latitude: 32.2167
# 	Southernmost_Latitude: 32.2167
# 	Easternmost_Longitude: 77.2167
# 	Westernmost_Longitude: 77.2167
# 	Elevation: 2700 m
#------------------
# Data_Collection  
#	Collection_Name: Manali2017d18O
#	Earliest_Year: 1767
#	Most_Recent_Year: 2008
#	Time_Unit: CE
#	Core_Length:
#	Notes:
#------------------
# Species
#	Species_Name: Abies pindrow
#	Common_Name: Himalayan silver fir
#	Tree_Species_Code: ABPI
#------------------
# Chronology_Information
#	Chronology:
# 	
#-----------------
# Variables
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text)
#
## age_CE	age, , , year CE, , , , ,N,
## d18OcellVSMOW	delta18O, cellulose, , per mil VSMOW, annual, tree ring, , ,N, 	
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: 
#
age_CE	d18OcellVSMOW
1767	31.25
1768	31.41
1769	27.95
1770	28.73
1771	28.67
1772	28.18
1773	31.31
1774	30.83
1775	27.23
1776	27.40
1777	28.74
1778	28.62
1779	31.75
1780	29.91
1781	30.43
1782	32.49
1783	33.97
1784	33.88
1785	31.36
1786	30.46
1787	30.72
1788	30.14
1789	26.99
1790	31.11
1791	28.57
1792	31.00
1793	31.71
1794	32.68
1795	29.81
1796	29.22
1797	27.94
1798	28.40
1799	28.29
1800	28.86
1801	28.05
1802	30.37
1803	31.40
1804	32.94
1805	30.26
1806	30.06
1807	27.52
1808	29.43
1809	29.84
1810	29.36
1811	28.78
1812	31.38
1813	33.14
1814	30.54
1815	29.52
1816	29.96
1817	28.44
1818	26.74
1819	27.66
1820	28.39
1821	31.11
1822	26.76
1823	28.52
1824	30.45
1825	31.50
1826	28.42
1827	30.61
1828	28.50
1829	29.99
1830	28.21
1831	30.49
1832	27.98
1833	33.50
1834	28.54
1835	28.31
1836	28.60
1837	30.82
1838	31.36
1839	30.97
1840	31.83
1841	30.98
1842	32.43
1843	30.42
1844	29.75
1845	30.07
1846	30.24
1847	30.59
1848	32.36
1849	31.64
1850	31.46
1851	29.70
1852	28.53
1853	29.34
1854	29.42
1855	29.15
1856	30.66
1857	28.50
1858	31.14
1859	30.74
1860	31.96
1861	30.75
1862	28.28
1863	29.16
1864	30.93
1865	31.21
1866	28.67
1867	30.29
1868	31.09
1869	30.80
1870	30.60
1871	29.26
1872	29.16
1873	31.86
1874	28.75
1875	30.19
1876	29.36
1877	31.09
1878	28.42
1879	30.24
1880	30.78
1881	27.90
1882	28.53
1883	30.06
1884	30.22
1885	28.74
1886	30.12
1887	30.44
1888	30.33
1889	28.29
1890	30.12
1891	29.83
1892	32.67
1893	26.52
1894	26.52
1895	29.05
1896	30.81
1897	29.40
1898	31.14
1899	32.40
1900	30.56
1901	31.20
1902	32.81
1903	31.26
1904	31.10
1905	30.88
1906	30.08
1907	30.10
1908	31.20
1909	28.78
1910	28.82
1911	30.79
1912	29.47
1913	29.38
1914	28.75
1915	30.01
1916	30.89
1917	28.58
1918	30.28
1919	29.56
1920	30.19
1921	33.61
1922	30.82
1923	30.12
1924	30.50
1925	28.30
1926	29.52
1927	29.50
1928	30.82
1929	30.80
1930	29.62
1931	30.97
1932	31.11
1933	27.37
1934	29.91
1935	29.98
1936	29.62
1937	29.93
1938	30.11
1939	32.10
1940	31.88
1941	31.82
1942	30.47
1943	28.93
1944	29.52
1945	28.86
1946	29.87
1947	32.64
1948	28.39
1949	29.96
1950	28.66
1951	30.21
1952	29.87
1953	30.40
1954	31.13
1955	28.13
1956	27.00
1957	27.24
1958	29.45
1959	28.66
1960	31.31
1961	28.95
1962	30.62
1963	29.62
1964	27.88
1965	30.13
1966	31.46
1967	28.51
1968	29.33
1969	32.67
1970	30.99
1971	29.80
1972	31.09
1973	30.46
1974	32.22
1975	28.90
1976	28.81
1977	28.70
1978	27.74
1979	30.18
1980	29.49
1981	30.43
1982	30.06
1983	28.87
1984	31.03
1985	32.23
1986	30.63
1987	33.58
1988	32.26
1989	30.08
1990	30.26
1991	31.39
1992	29.11
1993	29.95
1994	29.59
1995	29.76
1996	29.18
1997	30.00
1998	28.84
1999	30.05
2000	30.31
2001	31.43
2002	33.35
2003	30.28
2004	33.77
2005	28.99
2006	30.89
2007	30.78
2008	30.63
